"517","Mosher Alumni House","Acad &amp; Admin","10277.2770063",""
"519","undefined","Acad &amp; Admin","1186.08933295",""
"520","Marine Science Research Building","Acad &amp; Admin","14936.9997912",""
"521","Bren Hall","Acad &amp; Admin","21176.0457852","Environmental Studies; Bren School"
"522","Baseball Facilities","Recreation","5617.75131989",""
"525","Davidson Library","Acad &amp; Admin","101155.111527",""
"526","Webb Hall","Acad &amp; Admin","25847.2302674","Earth Science"
"527","Santa Rosa Hall","Housing","62357.9088108",""
"528","South Hall","Acad &amp; Admin","865.355444898","Black Studies; Chicano Studies; English; Feminist Studies; Linguistics; Mathematics; Philosophy; Statistics; Writing"
"530","Centennial House","Housing","2771.18248255",""
"531","Music &amp; Lotte Lehmann Concert Hall","Acad &amp; Admin","68327.6726243","Music"
"532","Coral Tree Cafe","Acad &amp; Admin","2497.29565062",""
"533","Robertson Gymnasium","Recreation","69678.635724",""
"534","Arts &amp; University Art Museum","Acad &amp; Admin","42718.3737012","Art"
"535","North Hall","Acad &amp; Admin","41202.3722253","Economics"
"537","undefined","Acad &amp; Admin","762.32293091",""
"538","Campbell Hall","Acad &amp; Admin","17259.0193012",""
"539","Bioscience Annex","Acad &amp; Admin","2396.68449048",""
"540","Green House","Acad &amp; Admin","5333.95350459",""
"542","Ortega Commons","Housing","28402.240128",""
"543","University House","Housing","8234.43277708",""
"544","Noble Hall","Acad &amp; Admin","32106.7509984",""
"545","undefined","Acad &amp; Admin","1395.8442756",""
"546","Woodhouse Lab","Acad &amp; Admin","8510.91905812",""
"547","Anacapa Hall","Housing","54962.1399078",""
"548","Santa Cruz Hall","Housing","55195.2869216",""
"549","De La Guerra Commons","Housing","38791.8761284",""
"550","Lagoon Pump House","Utilities","919.356307169",""
"551","Psychology","Acad &amp; Admin","7845.87897345",""
"552","Cheadle Hall","Acad &amp; Admin","30464.1713343",""
"553","San Miguel Hall","Housing","24337.4241306",""
"554","Theater and Dance East &amp; Hatlen Theater","Acad &amp; Admin","29726.1720805",""
"555","Marine Biotechnology Lab","Acad &amp; Admin","21433.1033588",""
"556","Harold Frank Hall","Acad &amp; Admin","36476.5657185","Computer Science; Electrical Engineering"
"557","Chemistry","Acad &amp; Admin","42303.9028454",""
"558","Multi-Cultural Center (MCC)","Acad &amp; Admin","16991.9027318",""
"559","Pump Station","Utilities","977.958577063",""
"560","Phelps Hall","Acad &amp; Admin","69928.9893928","Comparative Literature; French and Italian;  Germanic; Slavic; and Semitic Studies; Media Arts and Technology; Spanish and Portugese"
"561","San Nicolas Hall","Housing","21609.3090852",""
"562","Carrillo Commons","Housing","29769.1011645",""
"563","Ellison Hall","Acad &amp; Admin","28032.8620833","Geography; Political Science; History of Art and Architecture"
"564","Girvetz Hall","Acad &amp; Admin","35100.4208406",""
"565","Environmental Health &amp; Safety","Acad &amp; Admin","17682.9638584",""
"567","Kohn Hall","Acad &amp; Admin","20560.1041682",""
"568","Student Affairs &amp; Administration Services (SAASB)","Acad &amp; Admin","28339.4220178",""
"569","Pharmacology","Acad &amp; Admin","9442.52311984",""
"570","Physical Science (570)","Acad &amp; Admin","7433.81166401",""
"571","Biological Science 2","Acad &amp; Admin","18169.9320921",""
"572","Broida Hall","Acad &amp; Admin","52546.7347719","Physics"
"573","Buchanan Hall","Acad &amp; Admin","19300.6332524",""
"574","Public Safety (Fire &amp; Police Station)","Acad &amp; Admin","16521.3376977",""
"575","Cloud Clean Lab Geology","Acad &amp; Admin","3044.73999524",""
"577","undefined","Recreation","1765.38764364",""
"578","Harder Stadium Offices","Recreation","1349.21523979",""
"579","South Sewage Pump Station","Utilities","330.553747002",""
"580","Harder Stadium","Recreation","16513.3829625",""
"581","Faculty Club","Acad &amp; Admin","663.497274957",""
"583","Aviary","Acad &amp; Admin","1513.99955499",""
"584","FM Stores","Acad &amp; Admin","9718.67896111",""
"585","Pump Station","Utilities","2339.69144637",""
"586","San Rafael Hall Tower","Housing","11429.6675754",""
"587","San Rafael Mt. Cluster","Housing","11398.3852947",""
"588","Student Health","Acad &amp; Admin","47543.35349",""
"589","Storke Tower","Acad &amp; Admin","540.458965024",""
"591","Kerr Hall","Acad &amp; Admin","27620.8534702",""
"592","Metal Sculpture Studio","Acad &amp; Admin","1870.11180576",""
"594","FM Shop","Acad &amp; Admin","6053.50905971",""
"595","Central Garage","Acad &amp; Admin","3400.1592633",""
"597","undefined","Acad &amp; Admin","418.716643862",""
"598","undefined","Acad &amp; Admin","1155.87968768",""
"599","Counseling and Career Services (Student Services)","Acad &amp; Admin","15021.9155614",""
"615","Materials Research Lab","Acad &amp; Admin","18299.3417464",""
"657","Physical Science North","Acad &amp; Admin","28576.0113091",""
"672","Physical Sciences South","Acad &amp; Admin","14652.1030802",""
"697","undefined","Acad &amp; Admin","734.252446868",""
"698","undefined","Acad &amp; Admin","1452.83294906",""
"699","undefined","Acad &amp; Admin","1448.82246355",""
